,WINDCODE,BE_20130930,ME_20131231,BE_ME_ratio,norm_BEME_ratio
0,002475.SZ,2801723313.53,1829644.74,1531.29361798,-0.943714755282
1,002470.SZ,4129301807.76,1491000.0,2769.48478052,-0.663214633112
2,600036.SH,2.57274e+11,27464411.8595,9367.54084945,0.831510567164
3,002146.SZ,11280107084.9,1890841.099,5965.65575545,0.0608467041534
4,601988.SH,9.25661e+11,73136902.2678,12656.5519088,1.57660391936
5,000895.SZ,14118342997.5,10360323.3332,1362.73189006,-0.981900769448
6,600048.SH,60497540611.2,5888845.3726,10273.2431883,1.03668859168
7,000718.SZ,4495358054.62,933739.0004,4814.36252817,-0.199967538973
8,002304.SZ,16993835396.1,4408560.0,3854.73610342,-0.417361538803
9,600031.SH,25303210000.0,4889795.5918,5174.69688149,-0.118337308372
10,601688.SH,35943362514.4,5017600.0,7163.45713377,0.332196914941
11,002230.SZ,3314080163.4,2241738.5265,1478.35268218,-0.955708007542
12,000750.SZ,3255748444.02,2643053.3444,1231.81336878,-1.01155908258
13,601989.SH,48371408911.6,8512342.7184,5682.50251568,-0.00329889852357
14,601818.SH,1.32346e+11,12309626.14,10751.4231947,1.14501560472
15,000009.SZ,5094367005.46,1185373.1371,4297.69061405,-0.317014518
16,600446.SH,700973528.35,405724.725,1727.70719938,-0.899219175563
17,600583.SH,15108117413.7,3430971.3248,4403.45196257,-0.293055316806
18,601618.SH,54662813000.0,3344250.0,16345.3129999,2.41225673939
19,000876.SZ,16064575244.1,2490080.5511,6451.42794156,0.170893651402
20,002252.SZ,1139172037.3,2325600.0,489.840057319,-1.17964589406
21,601933.SH,5744350453.91,2162572.4828,2656.2579981,-0.688865055489
22,002049.SZ,2269190660.76,1498233.563,1514.57737752,-0.947501656394
23,600118.SH,4449977515.35,2191152.3672,2030.88456192,-0.830537303327
24,300027.SZ,3353048479.76,3365107.2,996.416542023,-1.06488593602
25,600606.SH,2154215265.35,271081.4065,7946.74667349,0.509643514653
26,601169.SH,78021393000.0,6608919.8138,11805.4682457,1.38379922272
27,600804.SH,4224741405.17,1943273.7522,2174.03307197,-0.798108405615
28,300168.SZ,1330691022.38,681467.4496,1952.6846413,-0.848252732051
29,000728.SZ,15412733918.3,2003382.0,7693.35749163,0.452240668777
30,000983.SZ,19698623338.7,2237352.0,8804.43637778,0.703944745443
31,002027.SZ,577554043.75,160842.2817,3590.80981472,-0.477151463384
32,600637.SH,3633092234.75,4117482.2693,882.3577121,-1.09072485064
33,600522.SH,5292312331.4,769318.6115,6879.22045858,0.267805870548
34,601668.SH,1.544219e+11,9420000.0,16392.9830149,2.42305591598
35,600111.SH,10002079023.0,5393891.988,1854.33431838,-0.870533037732
36,600008.SH,9158416643.02,1487200.0,6158.16073361,0.104456827956
37,601899.SH,33141037264.0,5038563.6032,6577.47720857,0.199448882506
38,600015.SH,82532000000.0,7631279.4872,10814.9623059,1.15940977017
39,000783.SZ,12530676194.4,2466083.1926,5081.205789,-0.139516802829
40,600028.SH,5.99936e+11,52221245.733,11488.3509878,1.31195940325
41,002236.SZ,3658693279.91,4685392.3867,780.872332122,-1.1137153729
42,002415.SZ,9858290779.08,9231578.9642,1067.88782475,-1.04869481454
43,000625.SZ,17409457162.5,5339004.5937,3260.80580321,-0.551910651096
44,600535.SH,3919181373.95,4429862.143,884.718586591,-1.09019001757
45,601288.SH,8.28772e+11,80548941.016,10289.0489874,1.04026924119
46,000651.SZ,32179212704.0,9823688.5238,3275.67518311,-0.548542138217
47,600074.SH,-182930654.84,370936.2516,-493.159280202,-1.40233479914
48,600704.SH,5616740248.33,897235.3581,6260.05227906,0.127539363039
49,601186.SH,79574150000.0,5786306.9635,13752.1480457,1.82480053031
50,002174.SZ,272175332.15,412211.4074,660.280931735,-1.14103417759
51,600085.SH,7620720608.0,2805052.0928,2716.78398685,-0.675153483518
52,600703.SH,6730963285.25,3579710.1507,1880.30957868,-0.864648596051
53,600585.SH,54540733304.0,8987617.174,6068.43084748,0.0841293980861
54,601390.SH,94960452000.0,5708373.2,16635.2914697,2.47794853131
55,600309.SH,11043044163.0,4476032.8704,2467.14992556,-0.731705643482
56,600340.SH,6486700837.03,2676185.6634,2423.86054366,-0.741512430413
57,601958.SH,13380669602.1,2339288.19,5719.97484504,0.00519009193508
58,000826.SZ,4181014968.09,2249419.0205,1858.70881769,-0.869542037612
59,000157.SZ,42009587798.7,4199744.9573,10002.8902292,0.975442767654
60,601608.SH,7748358428.58,923380.0,8391.29982085,0.610352691004
61,601009.SH,26643505571.7,2401866.9539,11092.8315694,1.22235833959
62,000069.SZ,25869298185.6,3853894.24,6712.50858861,0.230038923643
63,000402.SZ,22457505685.6,1583162.7401,14185.2161605,1.92290788464
64,601901.SH,15623656123.9,3605100.0,4333.76497847,-0.308842222853
65,002424.SZ,2013199962.79,1192464.0,1688.26896476,-0.90815352267
66,300124.SZ,2940244791.52,2274091.2,1292.9317837,-0.99771330224
67,601628.SH,2.38215e+11,42764498.665,5570.39150315,-0.0286965541208
68,600050.SH,2.19270780121e+11,6804107.4428,32226.2371611,6.00992509797
69,000938.SZ,1231793791.83,567750.4,2169.6044456,-0.799111667693
70,601872.SH,12000603145.2,1142463.0778,10504.1496556,1.08899819801
71,601118.SH,9179729002.2,2920860.4988,3142.81664803,-0.578639942537
72,601939.SH,1.049612e+12,103504544.679,10140.7334649,1.00666980724
73,601992.SH,27040702760.5,2912941.2008,9282.95523201,0.812348521154
74,002508.SZ,1892898971.84,1010688.0,1872.88161316,-0.866331329137
75,002081.SZ,5061958404.69,2582218.8887,1960.31344471,-0.846524501103
76,002074.SZ,529847140.02,141886.08,3734.31375382,-0.44464204669
77,600887.SH,15611521837.7,7983707.998,1955.42244802,-0.847632508662
78,600372.SH,4834591362.91,4197362.7701,1151.81642086,-1.0296816103
79,600383.SH,31038098270.7,2986967.7261,10391.172961,1.06340443058
80,601607.SH,28462460871.8,3976898.6857,7156.94894973,0.330722549372
81,000156.SZ,1037356735.95,2357575.9345,440.009893539,-1.19093443128
82,601099.SH,2187419528.25,983918.587,2223.17126351,-0.786976627949
83,600518.SH,11537749059.6,3957686.0694,2915.27646642,-0.630186949712
84,600196.SH,16482704169.8,4389065.7711,3755.40149759,-0.439864824172
85,002450.SZ,3573769143.03,2278101.4217,1568.74891916,-0.935229622392
86,000792.SZ,17850901504.2,2660921.8966,6708.54019692,0.229139923239
87,601718.SH,10791558456.6,1068389.0,10100.7764556,0.997617936785
88,600588.SH,2756220931.0,1327596.7934,2076.09791218,-0.820294660141
89,600362.SH,44713824547.0,4910150.2963,9106.40649446,0.772353127914
90,600100.SH,13308073119.2,2235246.236,5953.73919207,0.0581471230335
91,601333.SH,26407611951.0,1976306.823,13362.101291,1.73643924519
92,600170.SH,13478015040.0,1728991.6949,7795.30351693,0.475335545736
93,600009.SH,16796728949.7,2759404.4975,6087.08471879,0.0883552505569
94,600690.SH,18668319860.7,5305630.083,3518.58677832,-0.493512887327
95,000063.SZ,22710152000.0,4492866.4503,5054.71334419,-0.145518407615
96,600030.SH,88383842346.3,14046558.21,6292.20632022,0.134823547214
97,000002.SZ,94366538723.5,8844021.1501,10670.0941938,1.1265913134
98,600297.SH,927347832.03,203700.0,4552.51758483,-0.259285955078
99,600498.SH,6265000204.92,1487208.184,4212.59126484,-0.336292944927
100,600066.SH,7815771735.68,2236634.5177,3494.43401406,-0.49898446032
101,002352.SZ,741564016.45,187572.1798,3953.48615792,-0.394990677834
102,601919.SH,39641606804.7,3371370.5378,11758.3061133,1.37311510196
103,002065.SZ,3313415639.92,2346746.2018,1411.9190381,-0.970757901164
104,603993.SH,12632720872.6,3294434.6707,3834.5640862,-0.42193131241
105,002131.SZ,1145674340.43,451977.1151,2534.80608233,-0.716378801542
106,600038.SH,1650554081.52,1620471.4923,1018.56409654,-1.05986862373
107,601633.SH,25985988225.6,12525655.491,2074.62102437,-0.820629234661
108,601018.SH,29802251000.0,3123200.0,9542.21663678,0.871081661813
109,600827.SH,16133596652.1,1700103.3072,9489.77428829,0.859201359639
110,000060.SZ,6863198282.13,1295526.8726,5297.61167235,-0.0904921622459
111,002673.SZ,4626742661.04,1584000.0,2920.92339712,-0.62890769268
112,000100.SZ,18775896668.0,1980770.6377,9479.08673051,0.856780197743
113,600705.SH,11247518827.0,2585154.5134,4350.8110516,-0.304980601369
114,300144.SZ,3123425916.36,1072678.245,2911.80130754,-0.630974213036
115,000768.SZ,12006879531.5,2531758.1216,4742.50657243,-0.216245804376
116,002310.SZ,3198372520.85,2175754.0063,1470.00649503,-0.957598754776
117,600886.SH,32638826676.7,2666907.1754,12238.4562079,1.48188841927
118,000623.SZ,10330420163.5,1588522.657,6503.16199015,0.182613495147
119,002594.SZ,24700363000.0,8870248.8,2784.63023495,-0.659783578243
120,601398.SH,1.235389e+12,125504488.305,9843.38501901,0.93930841917
121,002202.SZ,13429605858.9,2271537.684,5912.12109466,0.048718949291
122,300315.SZ,1460559618.03,2022104.8871,722.296665889,-1.12698511834
