,WINDCODE,BE_20140930,ME_20141231,BE_ME_ratio,norm_BEME_ratio
0,000157.SZ,41871374578.1,5440403.5593,7696.37291089,1.49257732148
1,600887.SH,18127614251.8,8773294.2675,2066.22663039,-0.716115003395
2,600276.SH,7839262734.02,5636965.0594,1390.68854453,-0.981126907363
3,600009.SH,18260814244.4,3780692.475,4830.01840672,0.36811360805
4,601328.SH,4.5788e+11,50498654.1186,9067.17234334,2.03033851534
5,600150.SH,19891448279.6,5079741.4662,3915.83871186,0.00948319686761
6,000728.SZ,16669013252.6,6122099.7,2722.76082871,-0.458558277052
7,600036.SH,3.02398e+11,41839723.8521,7227.53336205,1.30865273737
8,600660.SH,8311906100.0,2431625.407,3418.25104972,-0.185719200296
9,601998.SH,2.57685e+11,38084884.2057,6766.07019752,1.1276218904
10,000738.SZ,4645424701.77,1893746.8029,2453.03368679,-0.564371561198
11,002456.SZ,5664817914.53,1954040.352,2899.02811307,-0.389409061612
12,000538.SZ,10743926415.8,6576439.2192,1633.6996447,-0.885794259672
13,600031.SH,26210649000.0,7601271.0289,3448.19292725,-0.173973076516
14,600037.SH,6021438336.96,1541427.4036,3906.40410499,0.00578202415203
15,000977.SZ,2196848626.97,1976075.3234,1111.72312156,-1.09056434609
16,601899.SH,33729794229.0,7316299.2097,4610.2261898,0.281889670272
17,601225.SH,43527830495.8,6650000.0,6545.53842042,1.04110782501
18,000718.SZ,4160347233.95,1375068.5936,3025.55614557,-0.33977243046
19,600737.SH,6056929103.01,1826169.778,3316.73931744,-0.22554199935
20,600221.SH,29882088000.0,4166306.1722,7172.32165975,1.28699332445
21,000002.SZ,1.06182513359e+11,15310887.6954,6935.09843919,1.19393124747
22,002508.SZ,2254530761.6,1043200.0,2161.16829141,-0.678869626889
23,000776.SZ,38600656578.4,15360561.3491,2512.97173984,-0.540858012678
24,002466.SZ,4992551199.34,1045131.64,4776.95919659,0.347298612426
25,601901.SH,30176108449.7,11599030.8656,2601.60601341,-0.506087008515
